title,rating
Moulin Rouge!,7.6
Chicago,7.2
Gangs of New York,7.5
The Hours,7.5
The Lord of the Rings: The Two Towers,8.8
The Pianist,8.5
The Lord of the Rings: The Return of the King,9.0
Lost in Translation,7.7
Master and Commander: The Far Side of the World,7.5
Mystic River,7.9
Seabiscuit,7.3
The Aviator,7.5
Finding Neverland,7.7
Million Dollar Baby,8.1
Ray,7.7
Sideways,7.5
Brokeback Mountain,7.7
Capote,7.3
Crash,7.7
"Good Night, and Good Luck.",7.4
Munich,7.5
Babel,7.5
The Departed,8.5
Letters from Iwo Jima,7.8
Little Miss Sunshine,7.8
The Queen,7.3
Atonement,7.8
Juno,7.5
Michael Clayton,7.2
No Country for Old Men,8.2
There Will Be Blood,8.2
The Curious Case of Benjamin Button,7.8
Frost/Nixon,7.7
Milk,7.5
The Reader,7.6
Slumdog Millionaire,8.0
Avatar,7.9
The Blind Side,7.6
District 9,7.9
An Education,7.3
The Hurt Locker,7.5
Inglourious Basterds,8.4
Precious,7.3
A Serious Man,7.0
Up,8.3
Up in the Air,7.4
Black Swan,8.0
The Fighter,7.8
Inception,8.8
The Kids Are All Right,7.0
The King's Speech,8.0
127 Hours,7.5
The Social Network,7.8
Toy Story 3,8.3
True Grit,7.6
Winter's Bone,7.1
The Artist,7.9
The Descendants,7.3
Extremely Loud & Incredibly Close,6.9
The Help,8.1
Hugo,7.5
Midnight in Paris,7.6
Moneyball,7.6
The Tree of Life,6.8
War Horse,7.2
Amour,7.9
Argo,7.7
Beasts of the Southern Wild,7.2
Django Unchained,8.5
Les Misérables,7.5
Life of Pi,7.9
Lincoln,7.3
Silver Linings Playbook,7.7
Zero Dark Thirty,7.4
American Hustle,7.2
Captain Phillips,7.8
Dallas Buyers Club,7.9
Gravity,7.7
Her,8.0
Nebraska,7.7
Philomena,7.6
12 Years a Slave,8.1
The Wolf of Wall Street,8.2
American Sniper,7.3
Birdman or (The Unexpected Virtue of Ignorance),7.7
Boyhood,7.9
The Grand Budapest Hotel,8.1
The Imitation Game,8.0
Selma,7.5
The Theory of Everything,7.7
Whiplash,8.5
The Big Short,7.8
Bridge of Spies,7.6
Brooklyn,7.5
Mad Max: Fury Road,8.1
The Martian,8.0
The Revenant,8.0
Room,8.1
Spotlight,8.1
Arrival,7.9
Fences,7.2
Hacksaw Ridge,8.1
Hell or High Water,7.6
Hidden Figures,7.8
La La Land,8.0
Lion,8.0
Manchester by the Sea,7.8
Moonlight,7.4
Call Me by Your Name,7.8
Darkest Hour,7.4
Dunkirk,7.8
Get Out,7.8
Lady Bird,7.4
Phantom Thread,7.4
The Post,7.2
The Shape of Water,7.3
"Three Billboards Outside Ebbing, Missouri",8.1
Black Panther,7.3
BlacKkKlansman,7.5
Bohemian Rhapsody,7.9
The Favourite,7.5
Green Book,8.2
Roma,7.7
A Star Is Born,7.6
Vice,7.2
Ford v Ferrari,8.1
The Irishman,7.8
Jojo Rabbit,7.9
Joker,8.4
Little Women,7.8
Marriage Story,7.9
1917,8.2
,
Parasite,8.5
The Father,8.2
Judas and the Black Messiah,7.4
Mank,6.8
Minari,7.4
Nomadland,7.3
Promising Young Woman,7.5
Sound of Metal,7.7
The Trial of the Chicago 7,7.7
Belfast,7.2
CODA,8.0
Don't Look Up,7.2
Drive My Car,7.5
Dune,8.0
King Richard,7.5
Licorice Pizza,7.1
Nightmare Alley,7.0
The Power of the Dog,6.8
West Side Story,7.1
All Quiet on the Western Front,7.8
Avatar: The Way of Water,7.6
The Banshees of Inisherin,7.7
Elvis,7.3
Everything Everywhere All at Once,7.8
The Fabelmans,7.5
Tár,7.4
Top Gun: Maverick,8.3
Triangle of Sadness,7.3
Women Talking,6.9
